leaderboard_rank,variant_id,extreme_move_threshold,oos_trades,oos_crossing_extreme_move_trades,oos_crossing_share,clean_oos_trades,oos_avg_return,clean_oos_avg_return,avg_return_delta,oos_win_rate,clean_oos_win_rate,oos_profit_factor,clean_oos_profit_factor,oos_portfolio_total_return,oos_portfolio_sharpe,oos_portfolio_max_drawdown,oos_portfolio_accepted_trades,oos_portfolio_skipped_trades,clean_oos_portfolio_total_return,clean_oos_portfolio_sharpe,clean_oos_portfolio_max_drawdown,clean_oos_portfolio_accepted_trades,clean_oos_portfolio_skipped_trades
11,9a6c66f873e5,3.0,92,0,0.0,92,0.060389270588791,0.060389270588791,0.0,0.5434782608695652,0.5434782608695652,2.0961907106649464,2.0961907106649464,0.03007425970968769,0.15424669556644421,-0.2458897282005731,69,23,0.03007425970968769,0.15424669556644421,-0.2458897282005731,69,23
12,48b69f980f3b,3.0,82,0,0.0,82,0.06847711617830865,0.06847711617830865,0.0,0.5365853658536586,0.5365853658536586,2.2583490877334524,2.2583490877334524,0.06618971234733206,0.2299722161909509,-0.24588972809188414,64,18,0.06618971234733206,0.2299722161909509,-0.24588972809188414,64,18
13,cc6b7037cfb9,3.0,82,0,0.0,82,0.059328341856874654,0.059328341856874654,0.0,0.5609756097560976,0.5609756097560976,2.091965049255421,2.091965049255421,0.08484259469998268,0.2689015058497598,-0.25690567723516267,64,18,0.08484259469998268,0.2689015058497598,-0.25690567723516267,64,18
14,ed4ac4e65bc9,3.0,234,0,0.0,234,0.05651553495397824,0.05651553495397824,0.0,0.5470085470085471,0.5470085470085471,2.0216927982190493,2.0216927982190493,0.3254482330871409,0.6441004744059793,-0.2963466219000793,85,149,0.3254482330871409,0.6441004744059793,-0.2963466219000793,85,149
15,4e3bc0aec66c,3.0,626,0,0.0,626,0.09133319327035712,0.09133319327035712,0.0,0.6261980830670927,0.6261980830670927,3.0748787892221205,3.0748787892221205,-0.13084937197270174,-0.18109467645495328,-0.37588612077505135,93,533,-0.13084937197270174,-0.18109467645495328,-0.37588612077505135,93,533
16,999457ba2b01,3.0,100,0,0.0,100,0.019329276835180903,0.019329276835180903,0.0,0.52,0.52,1.5101897675434588,1.5101897675434588,0.03758371575152508,0.17491524837964575,-0.20701028404928046,91,9,0.03758371575152508,0.17491524837964575,-0.20701028404928046,91,9
17,f06d1b9ccbf5,3.0,567,0,0.0,567,0.09593529177802256,0.09593529177802256,0.0,0.6261022927689595,0.6261022927689595,3.222344078297232,3.222344078297232,-0.1161703719784215,-0.13474980706196535,-0.3933028614573393,92,475,-0.1161703719784215,-0.13474980706196535,-0.3933028614573393,92,475
18,8a16e2137ddf,3.0,625,0,0.0,625,0.08054755008095577,0.08054755008095577,0.0,0.616,0.616,2.759661595030038,2.759661595030038,-0.11889794878529958,-0.14757935590896695,-0.3687598248917284,93,532,-0.11889794878529958,-0.14757935590896695,-0.3687598248917284,93,532
19,6a944dda46dc,3.0,566,0,0.0,566,0.0846622931998547,0.0846622931998547,0.0,0.6166077738515902,0.6166077738515902,2.8861799263586363,2.8861799263586363,-0.13671353513343565,-0.16802777447101755,-0.39918614433375,92,474,-0.13671353513343565,-0.16802777447101755,-0.39918614433375,92,474
20,8974cd1eaea5,3.0,100,0,0.0,100,0.02054790695403484,0.02054790695403484,0.0,0.5,0.5,1.552736640433851,1.552736640433851,0.0684651729298813,0.25629674777326045,-0.14719832722657766,91,9,0.0684651729298813,0.25629674777326045,-0.14719832722657766,91,9
