signal_rank,variant_id,family,base_config_json,stop_loss,take_profit,round_trip_cost_bps,raw_candidates,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,oos_final_equity,oos_total_return,oos_cagr,oos_sharpe,oos_max_drawdown,oos_trades,oos_traded_days,oos_average_positions,oos_max_positions_used,oos_blown_up,oos_worst_day,holdout_final_equity,holdout_total_return,holdout_cagr,holdout_sharpe,holdout_max_drawdown,holdout_trades,holdout_traded_days,holdout_average_positions,holdout_max_positions_used,holdout_blown_up,holdout_worst_day,signal_sharpe_stability,signal_selection_score
5640,c0d1ca31a8ce,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.03, ""min_adv20"": 50000000.0, ""mom3_min"": 0.0, ""prev_return_min"": 0.0}",0.02,0.04,20.0,9816,1094.161688724472,-0.8905838311275528,-0.11588347671133936,-2.5889617778368446,-0.8910603466038014,3956,1762,0.8738679036889773,10,False,-0.022,5313.443396019333,-0.4686556603980667,-0.18982355465568634,-3.045437441322037,-0.47055007179607644,1116,384,1.4742404227212682,10,False,-0.022,6731.893929680046,-0.3268106070319954,-0.12388631314065379,-2.255223084119428,-0.3297580768644467,1028,381,1.363395225464191,10,False,-0.022,8354.701684536969,-0.16452983154630307,-0.16573044524183622,-2.727751761912231,-0.1684668466044199,422,155,1.688,10,False,-0.022,-0.4564756634851923,0.18381159855769233
5641,02a3ae4a4021,oversold_3d_reversal,"{""family"": ""oversold_3d_reversal"", ""max_abs_gap"": 0.05, ""min_adv20"": 20000000.0, ""momentum_column"": ""mom3"", ""momentum_max"": -0.05}",0.02,0.08,20.0,147775,2.9533108742553202,-0.9997046689125745,-0.36391344507110945,-2.9123853745414974,-0.9997337224499224,29988,4293,6.6242544731610336,10,False,-0.022,3893.954585127133,-0.6106045414872867,-0.2694600131915046,-1.7503950086889342,-0.6517972913661101,5409,736,7.145310435931308,10,False,-0.022,3209.2420006401985,-0.6790757999359802,-0.3160394334847332,-2.2059055092695736,-0.6837765622117693,5887,729,7.8076923076923075,10,False,-0.022,7020.419179574041,-0.2979580820425959,-0.2999421201558773,-1.9929687995970775,-0.3065667538773821,2109,246,8.436,10,False,-0.022,-1.1619903658525632,0.18378906250000002
5642,b73a7e2c4912,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.02, ""min_adv20"": 50000000.0, ""mom3_min"": null, ""prev_return_min"": 0.0}",0.06,0.08,20.0,31439,17.0370654777627,-0.9982962934522237,-0.2987339542645109,-2.5538855453202323,-0.9982856645725737,10737,3164,2.371769383697813,10,False,-0.062,2440.6695079209417,-0.7559330492079058,-0.37467466252622206,-2.579166094320311,-0.771731142849907,2587,587,3.417437252311757,10,False,-0.062,3861.095528253384,-0.6138904471746616,-0.2724356189398338,-2.1660779520761717,-0.6226870321282397,2592,586,3.4376657824933687,10,False,-0.04070779726677905,5401.782316147545,-0.45982176838524547,-0.46247659966339394,-3.591961391905143,-0.46749122631383944,1004,215,4.016,10,False,-0.05837527133380969,-0.0252805490000787,0.1837890625
5643,7ee8ba3276e6,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.08, ""min_adv20"": 50000000.0, ""mom3_min"": null, ""prev_return_min"": null}",0.02,0.02,20.0,3044,2589.3996588038103,-0.741060034119619,-0.07245468103547992,-2.877909161257056,-0.741060034119619,1362,842,0.3008614976805832,10,False,-0.022,6134.701586308023,-0.38652984136919766,-0.15011938684283122,-3.4720571828561586,-0.3876321035827487,453,206,0.5984147952443857,10,False,-0.022,6992.712794090196,-0.3007287205909803,-0.11268490404543618,-4.03731609204629,-0.30198514732579396,379,226,0.5026525198938993,10,False,-0.017599999999999998,8281.926049029085,-0.17180739509709142,-0.173055431429731,-5.7091620069359905,-0.17592803182478023,170,93,0.68,10,False,-0.0132,-0.5941480215991026,0.1837590144230769
5644,068f04d1e01b,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.02, ""min_adv20"": 50000000.0, ""mom3_min"": null, ""prev_return_min"": 0.0}",0.04,0.08,20.0,31439,26.572212925500647,-0.9973427787074499,-0.28116670693505663,-2.690431215727899,-0.9973315713069391,10737,3164,2.371769383697813,10,False,-0.042,2764.9629072070716,-0.7235037092792929,-0.3481580897471446,-2.687369492872224,-0.7368916525921598,2587,587,3.417437252311757,10,False,-0.042,4071.874306432274,-0.5928125693567726,-0.2593953319889688,-2.1317971312227235,-0.6006781226676934,2592,586,3.4376657824933687,10,False,-0.042,5472.7017408496,-0.45272982591503996,-0.4553626835299034,-3.98372864507582,-0.46057460469776357,1004,215,4.016,10,False,-0.042,-0.0030617228556750753,0.18351111778846155
5645,03ac478e5ffc,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.01, ""min_adv20"": 20000000.0, ""mom3_min"": 0.05, ""prev_return_min"": null}",,0.02,20.0,26238,117.26993921066908,-0.9882730060789331,-0.21923679319090217,-2.373398867571519,-0.9883460999847783,8243,2376,1.820852661806936,10,False,-0.12935293862576014,3697.4409089606042,-0.6302559091039396,-0.28194559840342737,-2.661008647405998,-0.638084129445555,2036,461,2.689564068692206,10,False,-0.06030969968517027,5181.624950486548,-0.48183750495134514,-0.19726993298460815,-1.990771345111454,-0.4891931239662315,1965,481,2.6061007957559683,10,False,-0.059732031297918486,7907.432496108375,-0.20925675038916247,-0.21074057441156813,-2.814517669545288,-0.21317936017447547,773,189,3.092,10,False,-0.036274610612066806,-0.287609779834479,0.18349609374999998
5646,5607c96181c1,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.02, ""min_adv20"": 20000000.0, ""mom3_min"": 0.0, ""prev_return_min"": null}",0.02,,20.0,34658,52.76425205691602,-0.9947235747943084,-0.253187192164837,-3.0012268026130298,-0.9947404361119521,12328,3426,2.7232162580075103,10,False,-0.022,4737.397636841663,-0.5262602363158337,-0.22018877190333452,-1.9841295813619444,-0.5416516198399547,2713,597,3.583883751651255,10,False,-0.022,5923.223737206014,-0.4076776262793985,-0.16056910777143407,-1.4597370420287827,-0.4359226604852441,2604,584,3.453580901856764,10,False,-0.022,6988.808741240112,-0.30111912587598877,-0.3031193901472605,-3.310619601355956,-0.3077114807668325,1048,219,4.192,10,False,-0.022,-1.0170972212510854,0.1833082932692308
5647,f5cd9525defd,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.03, ""min_adv20"": 50000000.0, ""mom3_min"": null, ""prev_return_min"": 0.03}",0.06,0.04,20.0,5336,1282.7087484723886,-0.8717291251527611,-0.10802423887005619,-1.5534532745660359,-0.8734792718434196,1877,771,0.4146233708857963,10,False,-0.062,4345.209830967524,-0.5654790169032475,-0.2423016976008836,-2.576543008732163,-0.5654790169032475,539,181,0.7120211360634082,10,False,-0.062,8719.976781043097,-0.12800232189569027,-0.04474530383745545,-0.828906287844875,-0.14663990256622328,350,169,0.46419098143236076,10,False,-0.03479293095287948,8209.938306263277,-0.1790061693736723,-0.18030060835603523,-2.2941613598016124,-0.18790029933991292,165,76,0.66,10,False,-0.062,-1.0230897341661271,0.18328575721153847
5648,d320ce3b74f7,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.01, ""min_adv20"": 50000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.02,0.08,20.0,9205,1712.731126169778,-0.8287268873830222,-0.09355274229278387,-1.6276870368024605,-0.8302361727782249,3228,1205,0.7130550033134526,10,False,-0.022,5150.349723876681,-0.48496502761233184,-0.1981881663013505,-2.766215292445231,-0.49135211745460616,962,280,1.2708058124174373,10,False,-0.022,8357.71635262851,-0.16422836473714908,-0.05819645410757046,-0.8612773548707708,-0.18437457647272815,720,277,0.9549071618037135,10,False,-0.01870998349819946,9330.12571082734,-0.06698742891726595,-0.06750482079551923,-1.2165807648035734,-0.07925836970241529,283,123,1.132,10,False,-0.022,-1.1385282556427705,0.18314302884615385
5649,94532976dc8a,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.03, ""min_adv20"": 50000000.0, ""mom3_min"": null, ""prev_return_min"": 0.0}",0.02,0.08,20.0,14676,710.4480125403921,-0.9289551987459608,-0.13688355236362393,-2.311460122105428,-0.9293112120975162,5496,2178,1.2140490390987408,10,False,-0.022,4866.795639159341,-0.513320436084066,-0.21316182735456357,-2.8172662977697343,-0.5177352144908559,1402,437,1.8520475561426684,10,False,-0.022,6921.132435969822,-0.30788675640301777,-0.11573098242548363,-1.546645299468146,-0.31652855374841105,1432,469,1.8992042440318302,10,False,-0.022,7560.785472338795,-0.24392145276612043,-0.24561081964581077,-3.4083488562075415,-0.24964239065740246,564,179,2.256,10,False,-0.022,-0.5058061756643064,0.18306790865384617
