policy_rank,variant_id,family,base_config_json,stop_loss,take_profit,leverage,max_positions,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,oos_final_equity,oos_total_return,oos_cagr,oos_sharpe,oos_max_drawdown,oos_trades,oos_traded_days,oos_average_positions,oos_max_positions_used,oos_blown_up,oos_worst_day,holdout_final_equity,holdout_total_return,holdout_cagr,holdout_sharpe,holdout_max_drawdown,holdout_trades,holdout_traded_days,holdout_average_positions,holdout_max_positions_used,holdout_blown_up,holdout_worst_day,policy_sharpe_stability,policy_selection_score
52,5afba290676c,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,2.0,3,62568.22431726748,5.256822431726748,0.10746455544120415,0.5275302859360511,-0.5667178458223837,1003,606,0.22155953169869672,3,False,-0.044000000000000004,18469.820916376295,0.8469820916376294,0.22660169952515474,0.8380658545254362,-0.18504150940197972,192,105,0.2536327608982827,3,False,-0.044000000000000004,9165.230063159877,-0.08347699368401229,-0.028712830489589947,-0.002126208140402741,-0.3321004457209944,184,122,0.2440318302387268,3,False,-0.044000000000000004,11630.96012144704,0.16309601214470404,0.1645026769287674,0.6432235576784033,-0.1731428560064674,72,44,0.288,3,False,-0.044000000000000004,-0.31053556858938514,0.8130706521739132
53,59b1c0c0d28c,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.05, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.03}",0.02,0.08,4.0,20,24591.18137814086,1.459118137814086,0.0513640607382877,0.5045299575467331,-0.15212954047185745,930,405,0.20543406229290923,20,False,-0.06926035411855273,15009.209981860959,0.5009209981860958,0.14474376836159153,0.7099618527865028,-0.08736322824520681,250,67,0.33025099075297226,20,False,-0.037582934872119354,9882.687239913934,-0.011731276008606573,-0.003936209995527351,-0.07276009945497515,-0.05198123925813136,106,69,0.14058355437665782,10,False,-0.0132,8164.997684755025,-0.18350023152449746,-0.1848233814400344,-1.7160731593797838,-0.19916159748872897,66,23,0.264,20,False,-0.0836,-0.20543189523976968,0.8097554347826088
54,39765112165e,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.04,4.0,10,469780.42073568347,45.978042073568346,0.2389897366440823,0.7058966846421072,-0.8604306611788036,6477,2421,1.4307488402915838,10,False,-0.42514381962186326,25229.618280406637,1.5229618280406636,0.360796712438473,0.8945520475338474,-0.4482794387113981,1195,395,1.5785997357992074,10,False,-0.17956635324478457,725.6198958643175,-0.9274380104135682,-0.5838699644584516,-1.5043133042858197,-0.9434675435005485,1436,438,1.9045092838196287,10,False,-0.22386484661980952,7864.071578324714,-0.2135928421675286,-0.21510305732203994,-0.15826569865987034,-0.392081421009832,531,146,2.124,10,False,-0.1640087720237451,-0.18865536289174023,0.8094021739130436
55,39765112165e,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.04,2.0,20,46939.63564435698,3.6939635644356983,0.08988815435397868,0.6034947900859725,-0.48179253095537744,7458,2421,1.6474486414844267,20,False,-0.19250367502208085,14084.09176347818,0.4084091763478179,0.12075527480491521,0.7347472482522038,-0.21236964484522491,1508,395,1.9920739762219286,20,False,-0.12377146645588506,5517.480612189839,-0.4482519387810161,-0.18024276304461095,-1.1888460204531697,-0.5247009396492459,1595,438,2.1153846153846154,20,False,-0.06950706923611852,9621.170301739936,-0.03788296982600636,-0.038180173299773634,-0.10575569512132718,-0.15828372470619412,623,146,2.492,20,False,-0.07009621891447147,-0.13125245816623132,0.8091847826086956
56,810de8977158,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.04,3.0,10,274485.2236224108,26.44852236224108,0.20247651382642728,0.6475932247721956,-0.7980310559230982,11830,3245,2.613209631102275,10,False,-0.31885786471639743,19253.826297376945,0.9253826297376946,0.24369455729179546,0.7210540554134905,-0.37698268643056576,2074,527,2.739762219286658,10,False,-0.15137406130852274,1238.710977392638,-0.8761289022607363,-0.5024294238981624,-1.2756125366239677,-0.9004524574229029,2540,569,3.3687002652519893,10,False,-0.18388724107889023,8729.337506344598,-0.12706624936554012,-0.12801475661769735,-0.08155598794892843,-0.364674879813387,815,188,3.26,10,False,-0.1230065790178088,-0.07346083064129494,0.8086684782608695
57,5afba290676c,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,1.0,10,20196.044572000832,1.0196044572000833,0.039903299579272744,0.5928369939835153,-0.1545814651488926,1473,606,0.32538104705102716,10,False,-0.022,11508.630755298496,0.15086307552984968,0.04788674754853073,0.6152369144218486,-0.09811443047255808,354,105,0.4676354029062087,10,False,-0.022,9952.497691803726,-0.004750230819627332,-0.0015901274477010396,0.015825748974901948,-0.10004088343638184,275,122,0.3647214854111406,10,False,-0.022,10226.941889637972,0.022694188963797268,0.022877803651818462,0.3796087767426771,-0.059585781759237455,107,44,0.428,10,False,-0.022,-0.022399920438333276,0.8086413043478261
58,810de8977158,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.04,1.5,3,1396849.59777615,138.684959777615,0.31647285554686766,0.8859676217185072,-0.7194713395866357,7024,3245,1.5515794124144024,3,False,-0.2512962184489251,18424.69828713652,0.8424698287136521,0.22560332342991418,0.7255619123915683,-0.32959376221552117,1180,527,1.558784676354029,3,False,-0.14819285058437315,1716.894008970634,-0.8283105991029366,-0.4450704192430782,-1.0864252301045916,-0.8466368052878046,1318,569,1.7480106100795756,3,False,-0.2798310582747619,4200.525196241191,-0.5799474803758808,-0.5828521372186046,-1.9162603875867872,-0.5758122715581214,427,188,1.708,3,False,-0.0978902001111101,-0.16040570932693887,0.8082336956521738
59,59b1c0c0d28c,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.05, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.03}",0.02,0.08,3.0,20,20000.317145580953,1.0000317145580953,0.03933970908708506,0.5045299575467329,-0.11608316831781695,930,405,0.20543406229290923,20,False,-0.051945265588914546,13709.366555774539,0.3709366555774538,0.11073927718502308,0.7099618527865029,-0.0661827804979509,250,67,0.33025099075297226,20,False,-0.028187201154089514,9916.743292356236,-0.008325670764376403,-0.0027903328286820184,-0.07276009945497555,-0.03919014509234564,106,69,0.14058355437665782,10,False,-0.0099,8601.122796876738,-0.1398877203123262,-0.14092399421267987,-1.7160731593797836,-0.1523065272704347,66,23,0.264,20,False,-0.0627,-0.20543189523977,0.807907608695652
60,16968da02607,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.03}",,,4.0,10,588503.3222273366,57.850332222733655,0.254627638119602,0.6500300923952478,-0.9116946398245583,2333,852,0.5153523304616744,10,False,-0.5878244521792034,24123.17165935564,1.4123171659355642,0.34063247887082126,0.8303607975837323,-0.4318795716238172,463,141,0.6116248348745046,10,False,-0.22929703617825647,9887.146728960694,-0.011285327103930598,-0.0037860130254984137,0.1944450083670606,-0.572046430617035,354,153,0.46949602122015915,10,False,-0.1616317102279851,20372.086924882504,1.0372086924882504,1.0488388695044466,1.5016342779857852,-0.15015851920220724,145,56,0.58,10,False,-0.05993086244783048,-0.18033070518848449,0.8060326086956523
61,d3fb518fbd7b,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.08, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.03}",,0.08,1.5,10,20428.64868246952,1.042864868246952,0.040566406352854134,0.5660058516355271,-0.13613903944688444,353,228,0.07797658493483543,10,False,-0.0932709805056803,11734.720733506141,0.1734720733506141,0.05469526174409567,0.6105271361154173,-0.08402243156436451,77,31,0.10171730515191546,10,False,-0.06120579722918745,10501.66063564918,0.05016606356491793,0.01649392864683974,0.3408774214638033,-0.04716324026382934,65,43,0.08620689655172414,6,False,-0.03300298125933332,10143.354956022917,0.014335495602291637,0.014451004269057766,0.409024186491837,-0.0284340032888315,22,18,0.088,3,False,-0.01250856021722277,-0.04452128447989023,0.8057608695652174
62,d3fb518fbd7b,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.08, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.03}",,0.08,2.0,10,25382.025408501635,1.5382025408501634,0.05321821439998442,0.566005851635527,-0.17805937365146973,353,228,0.07797658493483543,10,False,-0.12436130734090707,12308.373367216414,0.23083733672164142,0.07158633995455355,0.6105271361154174,-0.11136877211551088,77,31,0.10171730515191546,10,False,-0.0816077296389166,10655.484647429494,0.0655484647429494,0.02144608621692501,0.3408774214638033,-0.06277009178068826,65,43,0.08620689655172414,6,False,-0.04400397501244443,10188.584045633263,0.018858404563326214,0.019010696879208977,0.40902418649183714,-0.03782549837725624,22,18,0.088,3,False,-0.01667808028963036,-0.044521284479890455,0.8052173913043479
63,08f00ed65665,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.08,2.0,5,1041852.5458459314,103.18525458459314,0.29515936787026775,0.7746146376445984,-0.7161421226486686,9080,3245,2.0057433178705546,5,False,-0.3086769803640927,18823.908430364983,0.8823908430364984,0.23438026469321072,0.6812603444043601,-0.33703759208062833,1567,527,2.07001321003963,5,False,-0.14093375746041542,1136.0291333093683,-0.8863970866690631,-0.5166133816948333,-1.2089290464480777,-0.8876100091801165,1813,569,2.4045092838196287,5,False,-0.24518298810518696,6142.122191299462,-0.3857877808700537,-0.3881781263759795,-0.760484278025823,-0.41451086699281614,582,188,2.328,5,False,-0.11805551036661618,-0.09335429324023825,0.8051086956521739
64,08f00ed65665,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.08,3.0,10,311264.13340358,30.126413340358,0.2109230032269478,0.627603749653276,-0.8385608113672846,11830,3245,2.613209631102275,10,False,-0.37742017207432826,21719.774024867696,1.1719774024867697,0.29460348495953426,0.7496510736893178,-0.39397136765094254,2074,527,2.739762219286658,10,False,-0.18832160098524756,1198.3401179136367,-0.8801659882086363,-0.5079090952858742,-1.1259981401479753,-0.906289502275641,2540,569,3.3687002652519893,10,False,-0.18388724107889023,9184.87129844027,-0.08151287015597297,-0.08213743019505737,0.12416733057790907,-0.4201862453985895,815,188,3.26,10,False,-0.14727975413790223,-0.1220473240360418,0.8044836956521739
65,aeb583bdb7a4,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.08,4.0,20,299736.18754090485,28.973618754090484,0.20838178184013412,0.6493817936179355,-0.8305968474989563,7458,2421,1.6474486414844267,20,False,-0.45192317241271834,19396.690112690103,0.9396690112690103,0.2467590021491839,0.707909674366098,-0.40339696230282374,1508,395,1.9920739762219286,20,False,-0.3080539917789565,3628.558478886507,-0.6371441521113492,-0.28738421585158236,-0.6728844386392928,-0.7537514995493408,1595,438,2.1153846153846154,20,False,-0.13901413847223704,9993.535059203843,-0.0006464940796157004,-0.0006516643466993877,0.23673993606634458,-0.34759206446008306,623,146,2.492,20,False,-0.1563745545756719,-0.05852788074816251,0.8043478260869565
66,39765112165e,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.04,1.0,5,48541.39283587607,3.8541392835876067,0.09192579677595436,0.5957682714542818,-0.4207926455845816,5431,2421,1.1996907444223548,5,False,-0.15433849018204635,13648.269679634075,0.3648269679634075,0.10908896878046459,0.7118431831959913,-0.1927161098898177,945,395,1.2483487450462352,5,False,-0.06588336889533108,4297.899095059954,-0.5702100904940046,-0.24590196935632125,-1.3517090083427141,-0.6007089520655018,1164,438,1.5437665782493368,5,False,-0.11193242330990476,9202.180308278632,-0.07978196917213687,-0.08039385527595067,-0.3627661869308343,-0.15266061351877547,405,146,1.62,5,False,-0.05537340229078043,-0.11607491174170947,0.8042934782608695
67,d3fb518fbd7b,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.08, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.03}",,0.08,1.0,10,16273.126002435323,0.6273126002435323,0.02747613837505325,0.566005851635527,-0.09252211154160717,353,228,0.07797658493483543,10,False,-0.062180653670453535,11157.032227587171,0.11570322275871714,0.037119082587258045,0.6105271361154174,-0.0563455226947307,77,31,0.10171730515191546,10,False,-0.0408038648194583,10340.898012329377,0.03408980123293759,0.011266506868579995,0.3408774214638033,-0.03149717863578927,65,43,0.08620689655172414,6,False,-0.022001987506222214,10096.835749560663,0.00968357495606642,0.009761420438058721,0.40902418649183714,-0.018999103978220244,22,18,0.088,3,False,-0.00833904014481518,-0.044521284479890455,0.8036413043478261
68,16968da02607,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.03}",,,1.5,3,170170.10528339905,16.017010528339906,0.1708960822135126,0.5792026976395356,-0.6212992403551415,1506,852,0.3326706428098078,3,False,-0.31090326835226767,24258.06982490401,1.4258069824904012,0.3431235017863312,1.0722927920849117,-0.26329937492753996,250,141,0.33025099075297226,3,False,-0.14819285058437315,8876.861266002787,-0.11231387339972132,-0.03903538429517461,0.07814786595729295,-0.5197152367360071,248,153,0.32891246684350134,3,False,-0.1716327744726879,13181.71189760885,0.318171189760885,0.3210875199743113,0.9095016896869884,-0.18891959230252753,101,56,0.404,3,False,-0.0749135780597881,-0.4930900944453761,0.803070652173913
69,37e8e6129018,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.06,,1.0,5,34738.66905949335,2.4738669059493352,0.0717781731828322,0.5112564185675321,-0.2324198735999382,1208,606,0.2668433841396068,5,False,-0.062,13549.977006317096,0.35499770063170955,0.10642357859071216,0.793611312786592,-0.12725611803630843,254,105,0.33553500660501984,5,False,-0.062,12622.000799630327,0.26220007996303263,0.08093310024131783,0.5617707594949626,-0.1139020145824392,215,122,0.28514588859416445,5,False,-0.062,11262.699748381823,0.12626997483818236,0.12734189411437424,0.7900676088273487,-0.07332310761615612,84,44,0.336,5,False,-0.0331909064525832,-0.2823548942190599,0.8016304347826086
70,5afba290676c,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,1.5,10,27861.071962762417,1.7861071962762418,0.05869594713177073,0.5928369939835153,-0.22397725847628092,1473,606,0.32538104705102716,10,False,-0.032999999999999995,12258.984950706095,0.22589849507060955,0.07015303551981389,0.6152369144218485,-0.1452575275333967,354,105,0.4676354029062087,10,False,-0.032999999999999995,9869.757077064232,-0.013024292293576711,-0.004371957131194648,0.015825748974902003,-0.14795279585935917,275,122,0.3647214854111406,10,False,-0.032999999999999995,10326.61960525024,0.032661960525024014,0.03292751184721898,0.3796087767426769,-0.08837556184421946,107,44,0.428,10,False,-0.032999999999999995,-0.022399920438333165,0.8007336956521739
71,16968da02607,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.03}",,,2.0,5,266307.2364307451,25.63072364307451,0.20045358786450218,0.6186342736708001,-0.6732822022876503,1844,852,0.4073337751270157,5,False,-0.45345761294817566,23003.042540250113,1.3003042540250114,0.3195801913864431,0.9707476838243396,-0.3415649593785758,321,141,0.4240422721268164,5,False,-0.15918520772389985,9070.739798490025,-0.09292602015099749,-0.03207111159418852,0.07569123812335006,-0.5234799899567032,292,153,0.38726790450928383,5,False,-0.1616317102279851,15548.503700004501,0.5548503700004501,0.5603503048572285,1.3495076989200707,-0.15015851920220713,120,56,0.48,5,False,-0.05993086244783048,-0.3521134101535395,0.799945652173913
72,59b1c0c0d28c,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.05, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.03}",0.02,0.08,2.0,20,16075.408002715445,0.6075408002715446,0.026777196528902314,0.5045299575467331,-0.07873704921876223,930,405,0.20543406229290923,20,False,-0.03463017705927637,12436.746323686952,0.24367463236869513,0.07529400036049094,0.7099618527865028,-0.04456711980265027,250,67,0.33025099075297226,20,False,-0.018791467436059677,9947.680321621432,-0.0052319678378568435,-0.0017516696458025338,-0.07276009945497515,-0.02626350192076421,106,69,0.14058355437665782,10,False,-0.0066,9052.157815375114,-0.09478421846248852,-0.09550507637111871,-1.7160731593797838,-0.10352962811799371,66,23,0.264,20,False,-0.0418,-0.20543189523976968,0.7995108695652174
