ticker,available_date,roe,roic,roa,operating_margin,fcf_margin,fcf_to_net_income,asset_turnover,debt_to_equity,net_debt_to_equity,current_ratio,market_cap,fundamental_source,source_fiscal_year,source_period_end,source_accession_year_max
GOOGL,2020-12-31,0.18620543422288188,0.14054082143734903,,0.19237825155862856,0.1668774073776303,0.7428422696512234,,,-0.07178485373927534,,,tenline_sec_annual_conservative,2018,2018-12-31,2020
GOOGL,2021-12-31,0.18119608515577598,0.15873569302855353,,0.2114891540063142,0.19135409651729612,0.9018431703695076,,,-0.07217958519077451,,,tenline_sec_annual_conservative,2019,2019-12-31,2021
GOOGL,2023-12-31,0.3206932403164206,0.2679905624588949,,0.3055228868524319,0.2601023921253547,0.8813541488564176,,,-0.021876924911081525,,,tenline_sec_annual_conservative,2021,2021-12-31,2023
GOOGL,2025-12-31,0.3290849238162386,0.29738326056131975,,0.32109777211457696,0.20788645155392008,0.7267823967718092,,,-0.02855877250187644,,3895911000000.0,tenline_sec_annual_conservative,2024,2024-12-31,2025
GOOGL,2026-12-31,0.3570478247421149,0.2479385726141225,,0.32032638592380025,0.18187550268595656,0.5543315427101461,,,0.04294847868228721,,4166149425354.004,tenline_sec_annual_conservative,2025,2025-12-31,2026
HD,2019-12-31,-52.45754716981132,,,0.14352651959742335,0.09792704453665795,0.9527920151065552,,,0.23375931842385517,,249608345581.0547,tenline_sec_annual_conservative,2019,2019-02-03,2019
HD,2022-12-31,20.50280723643169,0.521561195641801,,0.15242430056166767,0.09265201082318385,0.852248524310838,,,-20.691037735849058,,334179864501.9531,tenline_sec_annual_conservative,2022,2022-01-30,2022
HD,2023-12-31,-255.29850746268656,0.45785714449955656,,0.15272262917479337,0.07303545675749509,0.6720841859105525,,,24.579385403329066,,355213737487.79297,tenline_sec_annual_conservative,2023,2023-01-29,2023
HD,2024-12-31,11.621642363775901,0.4180267618257896,,0.1420655142825328,0.11754842174901257,1.1851020273393646,,,36.772030651341,,389767970214.84375,tenline_sec_annual_conservative,2024,2024-01-28,2024
HD,2025-12-31,3.853722019781364,0.28984989953989565,,0.13494740273581002,0.10234211417179684,1.102593543158179,,,7.533433734939759,,341691306060.791,tenline_sec_annual_conservative,2025,2025-02-02,2025
HD,2026-12-31,1.4554053359379016,0.24350391352227443,,0.12684976591390731,0.07678995403289957,0.8933314495620231,,,4.095215796456723,,326966935424.8047,tenline_sec_annual_conservative,2026,2026-02-01,2026
JPM,2019-12-31,0.12680004997969574,,,,,,,,-0.8167826442898076,,475911579162.59766,tenline_sec_annual_conservative,2018,2018-12-31,2019
JPM,2020-12-31,0.14070233370989388,,,,,,,,-0.8522213293536908,,410486927014.16016,tenline_sec_annual_conservative,2019,2019-12-31,2020
JPM,2021-12-31,0.10775610153065376,,,,,,,,-1.72684479191277,,488889808843.99414,tenline_sec_annual_conservative,2020,2020-12-31,2021
JPM,2022-12-31,0.16856356182680857,,,,,,,,-2.3365416979740044,,405867078472.9004,tenline_sec_annual_conservative,2021,2021-12-31,2022
JPM,2023-12-31,0.1284863903529488,,,,,,,,-1.7897698507176771,,505197018127.4414,tenline_sec_annual_conservative,2022,2022-12-31,2023
JPM,2024-12-31,0.15979103851921123,,,,,,,,-1.767239644013932,,705490520759.5825,tenline_sec_annual_conservative,2023,2023-12-31,2024
JPM,2025-12-31,0.1738562907724237,,,,,,,,-1.2078733488417963,,927671383514.4043,tenline_sec_annual_conservative,2024,2024-12-31,2025
JPM,2026-12-31,0.16133575416150545,,,,,,,,-0.7685783499522677,,985262933395.3857,tenline_sec_annual_conservative,2025,2025-12-31,2026
META,2019-12-31,0.2790615495286293,,,0.4461656936136681,0.2750635767756725,0.6946002170767004,,,,,599535250000.0,tenline_sec_annual_conservative,2018,2018-12-31,2019
META,2020-12-31,0.1996425119207694,,,0.3392788944368219,0.30004102012815254,1.1475250202867189,,,,,785608170532.2266,tenline_sec_annual_conservative,2019,2019-12-31,2020
META,2021-12-31,0.254168410771592,,,0.3800500203571221,0.2749025766300238,0.8108145200027448,,,,,971378817626.9531,tenline_sec_annual_conservative,2020,2020-12-31,2021
META,2023-12-31,0.18516153747924913,0.19263881656714052,,0.24821411726367604,0.16331500999065252,0.8208620689655173,,,-0.037848114355715,,956399896911.6211,tenline_sec_annual_conservative,2022,2022-12-31,2023
META,2024-12-31,0.2803919951520541,0.2971671484950982,,0.3465552771641636,0.32502853923588976,1.121464013504527,,,-0.15327614123054423,,1539305815673.8281,tenline_sec_annual_conservative,2023,2023-12-31,2024
META,2025-12-31,0.371406024329596,0.36537741099614945,,0.42176035404040096,0.3287031689776962,0.8670942912123156,,,-0.08247507350646364,,1725475330200.1953,tenline_sec_annual_conservative,2024,2024-12-31,2025
META,2026-12-31,0.30238071421426427,0.2440064072329069,,0.41437855159579234,0.2294368201586338,0.7626616824903238,,,0.10527842093876442,,1470011337158.2031,tenline_sec_annual_conservative,2025,2025-12-31,2026
MSFT,2018-12-31,0.21366496467068957,0.1083427049700014,,0.3176694454512505,0.2922435665096049,1.9462917144408907,,,0.7772673420537247,,791636577621.46,tenline_sec_annual_conservative,2018,2018-06-30,2018
MSFT,2019-12-31,0.42410617785655613,0.2364986121600766,,0.3413698020549415,0.30402962421429874,0.9750254841997962,,,0.5943711521547933,,1222648076339.7217,tenline_sec_annual_conservative,2019,2019-06-30,2019
MSFT,2022-12-31,0.47151330502706384,0.3579621109852883,,0.4205527815604983,0.3285872799717557,0.8956666391707223,,,0.21526101523939908,,1808242855224.6094,tenline_sec_annual_conservative,2022,2022-06-30,2022
MSFT,2024-12-31,0.3713334737729092,0.2965019363144144,,0.44644299573273716,0.3021801388696241,0.8404170826903876,,,0.12408884187472298,,3148183500000.0,tenline_sec_annual_conservative,2024,2024-06-30,2024
MSFT,2025-12-31,0.3328082411153743,0.29706098731461084,,0.4562195624085985,0.2541884965427156,0.7032268834943829,,,0.03758308368197182,,3610223263549.8047,tenline_sec_annual_conservative,2025,2025-06-30,2025
MSFT,2026-12-31,0.3403862745048138,0.2709862534216744,,0.4678081840892722,0.20186596512164032,0.5008411277841329,,,0.04376032749606114,,3764212161804.199,tenline_sec_annual_conservative,2026,2026-06-30,2026
NKE,2019-12-31,0.4274347549331636,,,,0.12229976736457294,1.187391412261107,,,-0.10918141592920354,,163960100048.82816,tenline_sec_annual_conservative,2019,2019-05-31,2019
NKE,2020-12-31,0.2970459198596081,,,,0.037403416838221536,0.5510043324143363,,,0.16250775915580384,,225163653942.8711,tenline_sec_annual_conservative,2020,2020-05-31,2020
NKE,2021-12-31,0.550091249639804,,,,0.1338632179262652,1.0410337000174612,,,-0.037126967964282914,,268238695053.1006,tenline_sec_annual_conservative,2021,2021-05-31,2021
NKE,2022-12-31,0.43111808328579576,,,,0.09484050524512952,0.7327158451869005,,,0.05601727635625941,,188479711441.04007,tenline_sec_annual_conservative,2022,2022-05-31,2022
NKE,2023-12-31,0.3462523476182346,,,,0.09512466563836226,0.9609467455621302,,,0.10654098828906026,,170433185520.93506,tenline_sec_annual_conservative,2023,2023-05-31,2023
NKE,2024-12-31,0.4009284659210804,,,,0.12883065301195437,1.1608771929824562,,,-0.06590436590436591,,115752396199.03564,tenline_sec_annual_conservative,2024,2024-05-31,2024
NKE,2025-12-31,0.23289802119885686,,,,0.07056943574683107,1.0152221186703945,,,0.037992885794293496,,94774994638.06152,tenline_sec_annual_conservative,2025,2025-05-31,2025
NKE,2026-12-31,0.2213832894080775,,,,0.047070994439415495,0.7027027027027027,,,0.025496131853346787,,56929637966.156,tenline_sec_annual_conservative,2026,2026-05-31,2026
NVDA,2019-12-31,0.492595015761613,0.36063708759954494,,0.3246841925571868,,,,,0.12909441233140656,,3676562607.2883606,tenline_sec_annual_conservative,2019,2019-01-27,2019
NVDA,2022-12-31,0.29776265594391177,0.1935265284824843,,0.271784107946027,,,,,0.3620434499496833,,9177592201.23291,tenline_sec_annual_conservative,2021,2021-01-31,2022
NVDA,2024-12-31,0.9145807403309824,0.6390097561476829,,0.5412166376678376,0.4435343554052723,0.9079637096774194,,,0.05651728791474708,,334919243255.61523,tenline_sec_annual_conservative,2024,2024-01-28,2024
NVDA,2025-12-31,1.1917746617063898,0.8920128148964017,,0.6241752683969747,0.46631723334636044,0.8349753018660813,,,-0.001588362096133725,,4625946000000.0,tenline_sec_annual_conservative,2025,2025-01-26,2025
NVDA,2026-12-31,1.014850815653791,0.7133233260959281,,0.6038168363141272,0.44770258129648327,0.8051837723937468,,,-0.01358610999853776,,5588701615264.892,tenline_sec_annual_conservative,2026,2026-01-25,2026
