signal_rank,variant_id,family,base_config_json,stop_loss,take_profit,raw_candidates,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,diagnostic_2025_final_equity,diagnostic_2025_total_return,diagnostic_2025_cagr,diagnostic_2025_sharpe,diagnostic_2025_max_drawdown,diagnostic_2025_trades,diagnostic_2025_traded_days,diagnostic_2025_average_positions,diagnostic_2025_max_positions_used,diagnostic_2025_blown_up,diagnostic_2025_worst_day,y2021_return,y2021_sharpe,y2021_max_drawdown,y2021_trades,y2022_return,y2022_sharpe,y2022_max_drawdown,y2022_trades,y2023_return,y2023_sharpe,y2023_max_drawdown,y2023_trades,y2024_return,y2024_sharpe,y2024_max_drawdown,y2024_trades,y2025_return,y2025_sharpe,y2025_max_drawdown,y2025_trades,signal_sharpe_stability,signal_positive_year_share_2021_2024,signal_worst_year_return_2021_2024,signal_selection_score
34,7710e480eb4e,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 100000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",,0.08,292,11643.955216642828,0.16439552166428273,0.052255711504544555,0.7701640874993375,-0.05032525312350833,119,47,0.15803452855245684,10,False,-0.04248727317937121,10357.445029563534,0.03574450295635345,0.035600734835338876,0.7907841536008702,-0.016541784215440947,27,14,0.1067193675889328,10,False,-0.008935651710003888,11261.082249180572,0.12610822491805718,0.1271786951127769,1.5848298786039567,-0.012453403562046717,51,20,0.204,10,False,-0.01245340356204662,0.042897485632318766,1.1464146005510298,-0.01714312796208517,28,0.09762271608497164,0.9149083313852955,-0.05032525312350822,63,0.017198754083078693,0.5080295119156581,-0.029518373646801432,28,0.03574450295635345,0.7907841536008702,-0.016541784215440947,27,0.12610822491805718,1.5848298786039567,-0.012453403562046717,51,-0.020620066101532664,1.0,0.017198754083078693,0.9436809523809524
35,5e8060ec2725,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.02}",,,399,12245.98625919297,0.22459862591929713,0.07015852019730895,0.75264918653689,-0.06425546918111358,128,50,0.1699867197875166,10,False,-0.04013576297052877,10465.338702748566,0.04653387027485656,0.046345744273101674,0.8807665201063708,-0.01626026994345242,32,16,0.12648221343873517,10,False,-0.008935651710003888,11878.4021528449,0.18784021528449002,0.1894771093856853,1.6453480568262864,-0.016891668275631155,53,19,0.212,10,False,-0.01689166827563112,0.035780930711440506,0.9831627924638244,-0.01714312796208528,26,0.13940038520673026,1.0211118686156004,-0.06337873355207746,71,0.037646665240087085,0.47001395290716075,-0.06425546918111336,31,0.04653387027485656,0.8807665201063708,-0.01626026994345242,32,0.18784021528449002,1.6453480568262864,-0.016891668275631155,53,-0.12811733356948085,1.0,0.035780930711440506,0.9436396825396824
36,c67e1293a947,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""market_prev_return_max"": null, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.03}",,0.08,192,11172.693623142128,0.1172693623142127,0.03780697354883311,0.6799323425991624,-0.046866699842148196,79,41,0.1049136786188579,10,False,-0.03050180219653622,10519.124751689653,0.051912475168965244,0.05170207250589809,1.1139482854394405,-0.009156744752313872,26,15,0.10276679841897234,10,False,-0.007603250896649904,11067.938624485323,0.10679386244853228,0.10769265536544537,1.4073448721790307,-0.010249143619115109,36,14,0.144,10,False,-0.006758472194223553,0.02466637103495173,0.8684774222464906,-0.019515390899610074,22,0.05280697462829598,0.6335645086599377,-0.04650480412494884,36,0.0356825362402684,1.000106363341332,-0.020284269662921295,21,0.051912475168965244,1.1139482854394405,-0.009156744752313872,26,0.10679386244853228,1.4073448721790307,-0.010249143619115109,36,-0.4340159428402781,1.0,0.02466637103495173,0.9435619047619047
37,1bf826e2ffbc,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.02}",,0.08,397,11670.863599143548,0.16708635991435483,0.05306887962987217,0.7727611594277123,-0.05413431057582063,127,50,0.16865869853917662,10,False,-0.04013576297052877,10424.221090916923,0.042422109091692306,0.042250939486825345,0.8832851782163107,-0.016541784215441058,32,16,0.12648221343873517,10,False,-0.008935651710003888,11505.742932623845,0.15057429326238458,0.15186606534654312,1.690958227513178,-0.017843286101046685,53,19,0.212,10,False,-0.017843286101046945,0.03248980159807591,0.9520691683931974,-0.01714312796208528,26,0.10348169298436027,0.9620526531855051,-0.05413431057582041,70,0.02435877059864433,0.602164732479829,-0.03377403105528731,31,0.042422109091692306,0.8832851782163107,-0.016541784215441058,32,0.15057429326238458,1.690958227513178,-0.017843286101046685,53,-0.11052401878859841,1.0,0.02435877059864433,0.9433479365079364
38,a313a4e4a375,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""market_prev_return_max"": null, ""min_adv20"": 100000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.03}",,0.08,186,11140.399282441484,0.11403992824414844,0.036802106148586367,0.6764347455085178,-0.04039045858327983,73,37,0.09694555112881806,10,False,-0.03050180219653622,10519.124751689653,0.051912475168965244,0.05170207250589809,1.1139482854394405,-0.009156744752313872,26,15,0.10276679841897234,10,False,-0.007603250896649904,11067.938624485323,0.10679386244853228,0.10769265536544537,1.4073448721790307,-0.010249143619115109,36,14,0.144,10,False,-0.006758472194223553,0.02307086228507882,0.8148783227172435,-0.019515390899610185,21,0.06274285232733567,0.7455806171020463,-0.04039045858327983,34,0.024629482580205364,0.8046589893038312,-0.020284269662921517,18,0.051912475168965244,1.1139482854394405,-0.009156744752313872,26,0.10679386244853228,1.4073448721790307,-0.010249143619115109,36,-0.4375135399309227,1.0,0.02307086228507882,0.9430203174603174
39,8d1d740da2a0,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.03}",,,177,11676.700143462725,0.1676700143462726,0.05324509464015326,0.6105536048048598,-0.05391453546137903,70,34,0.09296148738379814,10,False,-0.034326554894537585,10446.499102595511,0.04464991025955123,0.04446956138519287,0.8759311882506102,-0.009156744752313761,21,10,0.08300395256916997,10,False,-0.007603250896649904,11412.078110354334,0.14120781103543334,0.14241435981898842,1.318957709945709,-0.0067584721942236525,35,13,0.14,10,False,-0.006758472194223553,0.025019050862311598,0.8420790282656779,-0.01714312796208528,19,0.1077086423327489,0.8445012793823681,-0.038509421464883786,33,0.028401369756604566,0.37622512877899905,-0.05391453546137892,18,0.04464991025955123,0.8759311882506102,-0.009156744752313761,21,0.14120781103543334,1.318957709945709,-0.0067584721942236525,35,-0.26537758344575046,1.0,0.025019050862311598,0.9429596825396824
40,a81b0fddbc60,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 100000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.15}",,0.06,262,11334.020568060958,0.13340205680609585,0.04279807769107169,0.7379834924455241,-0.051993896970424225,113,46,0.150066401062417,10,False,-0.04248727317937121,10472.73494970224,0.04727349497022404,0.04708231209199076,1.0253411343849366,-0.014022999931342262,26,14,0.10276679841897234,10,False,-0.008935651710003888,11025.186560797347,0.10251865607973465,0.10337981453235368,1.414124772918623,-0.01645340356204672,49,19,0.196,10,False,-0.01645340356204662,0.03387835043607845,1.049969016580079,-0.01714312796208528,26,0.06726672229403463,0.7553168356724497,-0.051993896970424336,60,0.02716825048011806,0.8698089035460711,-0.02951837364680132,27,0.04727349497022404,1.0253411343849366,-0.014022999931342262,26,0.10251865607973465,1.414124772918623,-0.01645340356204672,49,-0.2873576419394125,1.0,0.02716825048011806,0.9425266666666666
41,157a7c242a78,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.1}",,0.08,217,11546.560242985996,0.15465602429859948,0.049301950958488217,0.7785294721310101,-0.05418185805817577,104,44,0.13811420982735723,10,False,-0.04248727317937121,10474.051349146048,0.04740513491460474,0.04721340775154448,1.0366410505295474,-0.015695211878756554,25,14,0.09881422924901186,10,False,-0.008935651710003888,11159.53231391449,0.11595323139144886,0.11693310184004035,1.5052114917682056,-0.012453403562046494,46,18,0.184,10,False,-0.01245340356204662,0.03584596604790202,1.0284775257764802,-0.01714312796208528,26,0.08021188773133914,0.8263895018957798,-0.05418185805817599,53,0.03192585604339193,0.8798234285366457,-0.030992789993626868,25,0.04740513491460474,1.0366410505295474,-0.015695211878756554,25,0.11595323139144886,1.5052114917682056,-0.012453403562046494,46,-0.25811157839853727,1.0,0.03192585604339193,0.9423828571428571
42,e076b39b09eb,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.03}",,0.06,191,11019.591654761727,0.10195916547617268,0.03302578954047264,0.7202062028349068,-0.044224429010812805,78,41,0.10358565737051793,10,False,-0.03050180219653622,10547.1920262112,0.05471920262112007,0.05449713226761976,1.2308473233763475,-0.009156744752313983,26,15,0.10276679841897234,10,False,-0.007603250896649904,10876.08589567846,0.087608589567846,0.08833954562678126,1.3980869811010448,-0.010249143619115109,36,14,0.144,10,False,-0.006758472194223553,0.027259653976654308,1.0293223587212927,-0.01714312796208539,22,0.03682739250495959,0.5542561616873185,-0.04386153004831972,35,0.03461508810245917,1.122379638127914,-0.020284269662921073,21,0.05471920262112007,1.2308473233763475,-0.009156744752313983,26,0.087608589567846,1.3980869811010448,-0.010249143619115109,36,-0.5106411205414407,1.0,0.027259653976654308,0.942284126984127
43,ac488d8f1d54,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.02}",,0.06,427,11526.12721383757,0.15261272138375692,0.04868016341381298,0.8089840125975797,-0.06456984497883445,147,65,0.1952191235059761,10,False,-0.04013576297052877,10505.8687902876,0.05058687902876002,0.050381976683732566,1.0702520861722309,-0.016343934936528304,39,23,0.1541501976284585,10,False,-0.008935651710003888,11207.59079327569,0.12075907932756902,0.12178173352844412,1.5241555109533262,-0.019843286101046798,55,21,0.22,10,False,-0.019843286101046947,0.03473955059754075,1.0285917142988068,-0.01714312796208528,33,0.07139252803178842,0.79343578055964,-0.06456984497883422,77,0.03968971070581895,1.0339779837870482,-0.028744480460112354,37,0.05058687902876002,1.0702520861722309,-0.016343934936528304,39,0.12075907932756902,1.5241555109533262,-0.019843286101046798,55,-0.2612680735746512,1.0,0.03473955059754075,0.9420984126984127
44,92d4c9090bb7,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.1}",,0.06,217,11296.94633543172,0.1296946335431719,0.041655285790673346,0.758083205570978,-0.0560588537754646,104,44,0.13811420982735723,10,False,-0.04248727317937121,10454.973244810772,0.04549732448107724,0.04531347907107497,0.9828755454298478,-0.015695211878756776,25,14,0.09881422924901186,10,False,-0.008935651710003888,10976.090687229138,0.09760906872291386,0.09842717335316276,1.3788635962530182,-0.016453403562046498,46,18,0.184,10,False,-0.01645340356204662,0.030989756690564585,0.9703773629050955,-0.01714312796208528,26,0.05650248524282353,0.699382350442073,-0.05605885377546471,53,0.03713715343520474,1.0235933145988911,-0.03099278999362698,25,0.04549732448107724,0.9828755454298478,-0.015695211878756776,25,0.09760906872291386,1.3788635962530182,-0.016453403562046498,46,-0.22479233985886982,1.0,0.030989756690564585,0.9420901587301588
45,69d2ce938eca,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.02}",,0.08,427,11850.173959238855,0.18501739592388544,0.058456018236719975,0.8329482034866702,-0.06531701241013943,147,65,0.1952191235059761,10,False,-0.04013576297052877,10498.746461663522,0.04987464616635218,0.04967269638252003,1.006071091066267,-0.018741696567172506,39,23,0.1541501976284585,10,False,-0.008935651710003888,11397.77879737614,0.13977787973761413,0.140971472407718,1.5744572823377625,-0.017843286101047018,55,21,0.22,10,False,-0.017843286101046945,0.034191167846176596,0.9653634042916813,-0.01714312796208528,33,0.09910964155249458,0.9203971644858243,-0.06531701241013932,77,0.042516371291357435,0.9590761911532694,-0.02934104023876294,37,0.04987464616635218,1.006071091066267,-0.018741696567172506,39,0.13977787973761413,1.5744572823377625,-0.017843286101047018,55,-0.1731228875795967,1.0,0.034191167846176596,0.9410631746031746
46,95cdb136eb83,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""market_prev_return_max"": null, ""min_adv20"": 100000000.0, ""mom3_max"": -0.03, ""prev_return_max"": -0.03}",0.03,,221,11925.055053024267,0.19250550530242672,0.06068966824784239,0.7226588516995148,-0.03267520718594297,83,40,0.1102257636122178,10,False,-0.019200000000000002,10325.78052435995,0.0325780524359951,0.03244721864404587,0.7696389000751247,-0.015428028744536526,34,20,0.13438735177865613,10,False,-0.007914976395352737,11018.205304092828,0.10182053040928274,0.10267555598432532,1.3896775503823902,-0.009569312767999882,44,21,0.176,10,False,-0.0032,0.02129950693457805,1.0106725164934212,-0.007740678484098096,23,0.12175661867161147,0.9597665546493076,-0.029397516969603132,41,0.040899092180550545,0.5767422901291107,-0.02547711999999991,19,0.0325780524359951,0.7696389000751247,-0.015428028744536526,34,0.10182053040928274,1.3896775503823902,-0.009569312767999882,44,-0.04698004837560987,1.0,0.02129950693457805,0.9409219047619046
47,85dd6542b33a,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.03}",,,369,12688.979243062888,0.2688979243062888,0.08296124493654822,0.8417975990388623,-0.05997451527705111,128,55,0.1699867197875166,10,False,-0.04013576297052877,10680.52694966242,0.06805269496624211,0.0677747964625508,1.2737142473234384,-0.014022999931342262,33,19,0.13043478260869565,10,False,-0.007603250896649904,11649.820235460948,0.1649820235460948,0.16640608797717604,1.5067664974058743,-0.016891668275631155,52,20,0.208,10,False,-0.01689166827563112,0.04749720417105041,1.264390695497303,-0.01714312796208528,31,0.15340300914801763,1.0727474516675324,-0.05139368378718756,65,0.05025010674360186,0.5772136697611918,-0.05997451527705111,32,0.06805269496624211,1.2737142473234384,-0.014022999931342262,33,0.1649820235460948,1.5067664974058743,-0.016891668275631155,52,-0.4319166482845761,1.0,0.04749720417105041,0.940811111111111
